Date,Close
2017-05-15,26.42
2017-05-16,26.48
2017-05-17,25.94
2017-05-18,26.14
2017-05-19,26.41
2017-05-22,26.8
2017-05-23,26.67
2017-05-24,27.05
2017-05-25,27.26
2017-05-26,27.32
2017-05-30,27.36
2017-05-31,27.03
2017-06-01,27.61
2017-06-02,27.6
2017-06-05,27.51
2017-06-06,27.5
2017-06-07,27.84
2017-06-08,27.91
2017-06-09,27.82
2017-06-12,27.75
2017-06-13,27.92
2017-06-14,27.82
2017-06-15,27.75
2017-06-16,27.75
2017-06-19,28.25
2017-06-20,28.01
2017-06-21,27.91
2017-06-22,27.86
2017-06-23,28.1
2017-06-26,27.72
2017-06-27,27.81
2017-06-28,28.12
2017-06-29,27.82
2017-06-30,27.72
2017-07-03,27.63
2017-07-05,27.63
2017-07-06,27.31
2017-07-07,27.59
2017-07-10,27.56
2017-07-11,27.53
2017-07-12,27.82
2017-07-13,27.59
2017-07-14,27.78
2017-07-17,27.69
2017-07-18,27.79
2017-07-19,27.93
2017-07-20,27.73
2017-07-21,27.62
2017-07-24,27.62
2017-07-25,27.58
2017-07-26,27.42
2017-07-27,27.05
2017-07-28,27.01
2017-07-31,26.62
2017-08-01,26.48
2017-08-02,26.51
2017-08-03,26.74
2017-08-04,26.83
2017-08-07,26.76
2017-08-08,26.51
2017-08-09,26.57
2017-08-10,26.26
2017-08-11,26.41
2017-08-14,26.68
2017-08-15,26.47
2017-08-16,26.68
2017-08-17,26.64
2017-08-18,26.89
2017-08-21,26.89
2017-08-22,27.21
2017-08-23,26.84
2017-08-24,26.71
2017-08-25,26.72
2017-08-28,26.97
2017-08-29,27.05
2017-08-30,27.08
2017-08-31,27.55
2017-09-01,27.5
2017-09-05,27.57
2017-09-06,28.22
2017-09-07,28.54
2017-09-08,28.79
2017-09-11,28.95
2017-09-12,29.01
2017-09-13,29.08
2017-09-14,28.97
2017-09-15,28.93
2017-09-18,28.99
2017-09-19,28.69
2017-09-20,28.84
2017-09-21,28.76
2017-09-22,28.85
2017-09-25,28.75
2017-09-26,28.68
2017-09-27,28.86
2017-09-28,28.74
2017-09-29,29.17
2017-10-02,29.47
2017-10-03,29.02
2017-10-04,29.24
2017-10-05,29.43
2017-10-06,29.5
2017-10-09,29.33
2017-10-10,29.34
2017-10-11,29.27
2017-10-12,29.43
2017-10-13,29.44
2017-10-16,29.16
2017-10-17,29.4
2017-10-18,29.52
2017-10-19,29.57
2017-10-20,29.69
2017-10-23,29.61
2017-10-24,29.8
2017-10-25,29.61
2017-10-26,28.82
2017-10-27,28.5
2017-10-30,28.16
2017-10-31,28.14
2017-11-01,27.85
2017-11-02,27.44
2017-11-03,27.86
2017-11-06,27.81
2017-11-07,27.96
2017-11-08,28.1
2017-11-09,28.59
2017-11-10,28.36
2017-11-13,28.45
2017-11-14,28.32
2017-11-15,28.01
2017-11-16,28.28
2017-11-17,28.26
2017-11-20,28.35
2017-11-21,28.8
2017-11-22,28.47
2017-11-24,28.66
2017-11-27,28.51
2017-11-28,26.39
2017-11-29,25.95
2017-11-30,26.28
2017-12-01,26.15
2017-12-04,24.9
2017-12-05,24.94
2017-12-06,25.24
2017-12-07,25.04
2017-12-08,25.77
2017-12-11,25.5
2017-12-12,25.61
2017-12-13,25.71
2017-12-14,25.62
2017-12-15,25.78
2017-12-18,25.78
2017-12-19,25.49
2017-12-20,25.37
2017-12-21,25.14
2017-12-22,25.1
2017-12-26,25.13
2017-12-27,25.2
2017-12-28,25.19
2017-12-29,24.79
2018-01-02,25.28
2018-01-03,25.56
2018-01-04,25.32
2018-01-05,25.97
2018-01-08,25.81
2018-01-09,27.96
2018-01-10,27.52
2018-01-11,27.43
2018-01-12,27.46
2018-01-16,26.98
2018-01-17,27.25
2018-01-18,27.4
2018-01-19,27.65
2018-01-22,27.71
2018-01-23,27.82
2018-01-24,27.91
2018-01-25,28.26
2018-01-26,28.42
2018-01-29,28.33
2018-01-30,28.03
2018-01-31,27.96
2018-02-01,27.63
2018-02-02,27.39
2018-02-05,26.4
2018-02-06,26.72
2018-02-07,26.32
2018-02-08,25.2
2018-02-09,25.92
2018-02-12,26.18
2018-02-13,26.11
2018-02-14,26.81
2018-02-15,27.09
2018-02-16,27.2
2018-02-20,26.83
2018-02-21,26.77
2018-02-22,26.48
2018-02-23,27.2
2018-02-26,27.62
2018-02-27,27.45
2018-02-28,27.26
2018-03-01,26.5
2018-03-02,26.77
2018-03-05,27.41
2018-03-06,27.41
2018-03-07,27.59
2018-03-08,27.85
2018-03-09,28.54
2018-03-12,28.54
2018-03-13,28.43
2018-03-14,28.01
2018-03-15,27.84
2018-03-16,27.93
2018-03-19,27.62
2018-03-20,27.67
2018-03-21,27.66
2018-03-22,26.94
2018-03-23,26.3
2018-03-26,27.25
2018-03-27,27.03
2018-03-28,26.68
2018-03-29,27.32
2018-04-02,26.84
2018-04-03,27.46
2018-04-04,27.74
2018-04-05,28.09
2018-04-06,27.35
2018-04-09,27.51
2018-04-10,27.9
2018-04-11,27.93
2018-04-12,28.23
2018-04-13,28.31
2018-04-16,28.83
2018-04-17,28.86
2018-04-18,28.94
2018-04-19,28.89
2018-04-20,28.84
2018-04-23,28.82
2018-04-24,28.5
2018-04-25,29.42
2018-04-26,29.45
2018-04-27,29.23
2018-04-30,28.72
2018-05-01,29.48
2018-05-02,29.27
2018-05-03,29.43
2018-05-04,29.55
2018-05-07,29.94
2018-05-08,29.83
2018-05-09,29.83
2018-05-10,30.28
2018-05-11,29.97
2018-05-14,29.86
2018-05-15,29.62
2018-05-16,29.97
2018-05-17,30.32
2018-05-18,30.32
2018-05-21,30.65
2018-05-22,30.27
2018-05-23,30.46
2018-05-24,30.4
2018-05-25,30.31
2018-05-29,30.2
2018-05-30,30.51
2018-05-31,30.39
2018-06-01,30.59
2018-06-04,30.6
2018-06-05,30.72
2018-06-06,30.8
2018-06-07,31.03
2018-06-08,31.95
2018-06-11,34.32
2018-06-12,33.84
2018-06-13,31.73
2018-06-14,32.51
2018-06-15,32.96
2018-06-18,32.29
2018-06-19,31.92
2018-06-20,32.23
2018-06-21,32.15
2018-06-22,32.62
2018-06-25,32.12
2018-06-26,32
2018-06-27,31.85
2018-06-28,32.5
2018-06-29,32.7
2018-07-02,32.83
2018-07-03,33.21
2018-07-05,33.22
2018-07-06,33.61
2018-07-09,33.79
2018-07-10,33.56
2018-07-11,33.34
2018-07-12,33.34
2018-07-13,33.35
2018-07-16,33.15
2018-07-17,33.95
2018-07-18,33.74
2018-07-19,33.72
2018-07-20,33.77
2018-07-23,33.71
2018-07-24,33.57
2018-07-25,34.32
2018-07-26,34.33
2018-07-27,33.77
2018-07-30,32.93
2018-07-31,33.61
2018-08-01,33.39
2018-08-02,33.38
2018-08-03,33.53
2018-08-06,33.15
2018-08-07,33.22
2018-08-08,34.29
2018-08-09,33.85
2018-08-10,33.55
2018-08-13,33.3
2018-08-14,33.7
2018-08-15,34.89
2018-08-16,34.29
2018-08-17,34.41
2018-08-20,34.57
2018-08-21,34.49
2018-08-22,34.47
2018-08-23,34.35
2018-08-24,34.72
2018-08-27,34.94
2018-08-28,35.06
2018-08-29,35.54
2018-08-30,35.4
2018-08-31,35.56
2018-09-04,36.05
2018-09-05,35.75
2018-09-06,35.99
2018-09-07,35.85
2018-09-10,35.84
2018-09-11,36.14
2018-09-12,36.44
2018-09-13,37.62
2018-09-14,37.39
2018-09-17,37.27
2018-09-18,37.62
2018-09-19,37.49
2018-09-20,37.82
2018-09-21,37.77
2018-09-24,38.4
2018-09-25,38.61
2018-09-26,38.63
2018-09-27,38.34
2018-09-28,38.5
2018-10-01,38.98
2018-10-02,39.04
2018-10-03,38.61
2018-10-04,38
2018-10-05,37.85
2018-10-08,37.3
2018-10-09,37.41
2018-10-10,36.11
2018-10-11,36
2018-10-12,36.99
2018-10-15,36.43
2018-10-16,38.11
2018-10-17,38
2018-10-18,37.53
2018-10-19,36.54
2018-10-22,36.62
2018-10-23,36.03
2018-10-24,35.68
2018-10-25,36.39
2018-10-26,35.83
2018-10-29,35.38
2018-10-30,35.91
2018-10-31,36.14
2018-11-01,36.99
2018-11-02,36.81
2018-11-05,36.36
2018-11-06,36.85
2018-11-07,37.95
2018-11-08,38.44
2018-11-09,38.6
2018-11-12,36.93
2018-11-13,36.66
2018-11-14,36.21
2018-11-15,36.47
2018-11-16,37.21
